word,romaji,explanation,properties,examples
しっくり,shikkuri,"exactly, nicely, to a tee; to be fitting",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
沁み沁み,shimijimi,"keenly, deeply, fully, heartily, seriously, earnestly; calmly, quietly, softly; fixedly (gazing, staring), intently",popular; rarely-used kanji form; JLPT N2; onomatopoeic or mimetic word; usually written using kana alone; adverb; adverb taking the と particle,
しゃきしゃき,shakishaki,"crisp, crunchy, precise, clipped, brisk",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じくじく,jikujiku,"oozing, damp, sodden",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じたばた,jitabata,"(kicking and) struggling, wriggling, floundering, flailing; to get into a panic, to make a fuss, to make a scene",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),泥棒が警察に捕まってジタバタと抵抗する。; デパートのおもちゃ売り場でおもちゃを買って欲しい子供が床に寝転がってジタバタしている。
凝乎と,jitto,"motionlessly (e.g. stand, wait), (be) still; fixedly (e.g. gaze, stare), intently (e.g. listen, think); patiently (endure), stoically; firmly (e.g. hold), restrained",popular; rarely-used kanji form; JLPT N3; onomatopoeic or mimetic word; usually written using kana alone; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じゃあじゃあ,jaajaa,"noisily (of water gushing, pouring, spilling, splashing, spraying, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,買ったばかりの大好きなお花にジャージャーと水をやる。
じゃりじゃり,jarijari,"crunchy, gritty (sand, pebbles, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun or participle taking the aux. verb する; noun (generic),
じゅうじゅう,juujuu,"sizzling (of cooking meat, fish, etc.), frizzling",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
じりじり,jirijiri,"slowly (but steadily), gradually, bit-by-bit; irritatedly, impatiently; scorchingly (of the sun); sizzling (i.e. sound of frying in oil); sound of a warning bell, alarm clock, etc.; oozing out (oil, sweat, etc.), seeping out",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
じんわり,jinwari,"gradually (progressing), steadily, slowly; seeping out (sweat, tears, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
スースー,su-su-,"cool sensation from passing air, cool and refreshing (aftertaste); sound of air leaking, sound of a sleeper's breath",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
スイスイ,suisui,"lightly and smoothly (of movements), swiftly, glidingly; (progressing) smoothly, (solving) easily",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すたすた,sutasuta,"(walk) briskly, at a brisk pace, quickly",onomatopoeic or mimetic word; adverb taking the と particle,
スカッと,sukaxtsuto,"refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; (wearing, etc. something) elegantly, smartly, stylishly, in a refined manner",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
すっぱり,suppari,"completely (quitting, etc.), entirely, thoroughly, totally, wholly, resolutely, decisively, flatly, firmly, without hesitation; cleanly (cutting, snapping off, etc.), in a single blow",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すらり,surari,"long, slender and well-proportioned; smooth, continuous (movement)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
するする,surusuru,"smoothly, swiftly",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
するり,sururi,"with a smooth, unhindered motion, speedily and without delay",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
すんなり,sunnari,"slim, slender, lithe, supple; smoothly, without resistance, without trouble, without difficulty, without dissent, easily, readily",JLPT N1; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ずかずか,zukazuka,"rudely (barging in), straight, directly, without hesitation, without permission",onomatopoeic or mimetic word; adverb; adverb taking the と particle,彼女は僕の心に土足でずかずかと入り込んできた。; 人の家に平気でずかずかと入っていく彼をみて驚いた。
ズキズキ,zukizuki,throbbingly (of pain),popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),頭がずきずきする。; 心の傷がずきずきと疼く。
ずけずけ,zukezuke,"(speak) bluntly, frankly",obsolete reading; onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ずっしり,zusshiri,"heavily, profoundly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),１年ぶりに娘をだっこすると、ずっしりと重くなっていた。; 吉田さん: フルマラソンを走った後だけど、家まで走って帰ろうか？伊賀さん: 無理です！足がずっしりと重くなって歩くことさえできません。タクシーで帰りましょう。; 彼は自分の肩にずっしりと責任がのしかかるのを感じた。; ずっしりした体つきの猫を見つけた。
ずらっと,zuratto,"in a line, in a row",JLPT N1; onomatopoeic or mimetic word; adverb,
ずんずん,zunzun,"rapidly (e.g. progress, moving forward), growing visibly, quickly, steadily, by leaps and bounds",onomatopoeic or mimetic word; adverb,彼女は闇の中を恐れずにずんずんと進んでいく。; ずんずんと広がる景色を車窓からしばらく眺めていた。
そこそこ,sokosoko,"reasonably, fairly, all right, moderate; hurriedly, in a rush, having barely finished; approximately, about, or so",onomatopoeic or mimetic word; adverb; noun taking the genitive case particle の; adjective (generic); suffix,
ぞっと,zotto,"shuddering, shivering, trembling, being horrified, being disgusted",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),ぞっとするような表情で、彼女はその男性を見つめていた。; 彼女の話は僕をぞっとさせた。
たじたじ,tajitaji,"flinchingly, falteringly, being overwhelmed; staggeringly, totteringly, unsteadily",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ちびちび,chibichibi,"little by little, bit by bit, sparingly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,仕事から帰るとチビチビお酒を飲むのが日課だ。; 好きなおかずが出てきたので大事そうにチビチビ食べる。
ちゃっかり,chakkari,"shrewdly, smartly, calculatingly, astutely, cunningly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),宝探しは失敗に終わったと思っていたが僕のボスはちゃっかりお宝を手にしていた。; クラスで一番のいたずらっ子は先生が教室に入るときちゃっかり席についている。; クラスでお菓子が配られた時、彼はすぐ取りに行き、ちゃっかり自分の分だけ確保していた。; イベントの後片付けが残っているのに、クラスメイトたちはちゃっかり帰ってしまっていた。僕一人で片付けなくっちゃ。。。
ちやほや,chiyahoya,"to make a fuss over, to pamper, to spoil, to indulge, to flatter (with attention)",JLPT N1; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); transitive verb; adverb; adverb taking the と particle,
ちゃんちゃん,chanchan,"regularly, promptly; sound of clashing swords; Manchu queue; padded sleeveless kimono jacket, Japanese vest (often for children)",onomatopoeic or mimetic word; adverb; noun; noun (generic); adverb taking the と particle,
ちゅう,chuu,kiss; squeak (of a mouse); with a slurp,colloquial; onomatopoeic or mimetic word; noun; noun (generic); noun or participle taking the aux. verb する; intransitive verb; adverb taking the と particle,
ちょいちょい,choichoi,"often, frequently, now and then, occasionally; lightly (of a movement); easily, simply, effortlessly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ちょこちょこ,chokochoko,"toddling, with small, quick steps; restlessly, in continuous motion; quickly and easily; often, frequently, now and then, occasionally",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),恵子： 近状で有名な風船おじさんって最近見た？知子： うん、ちょこちょこ見るよ。; アヒルの子供がちょこちょこと横断歩道を歩いている。
ちょろちょろ,chorochoro,"trickling (of water); flickering (of fire); darting about (e.g. a small animal), scampering about, moving rapidly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),蛇がチョロチョロする。; 台所の水道から水がチョロチョロと漏れている。; 壁をふと見るとトカゲがちょろちょろと壁を歩いていた。
つかつか,tsukatsuka,"walking briskly, determinedly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
熟,tsukuduku,"deeply, keenly, severely, completely, utterly; intently, carefully, closely, attentively",popular; search-only kana form; rarely-used kanji form; usually written using kana alone; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
つべこべ,tsubekobe,"complaining, nitpicking",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ツンツン,tsuntsun,"aloof, morose, stuck-up, standoffish; smelling strongly of something, having a pungent smell",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
テカテカ,tekateka,"gleaming, shining, glistening",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
てこてこ,tekoteko,sound of walking,onomatopoeic or mimetic word; noun; noun (generic),
でかでか,dekadeka,in a big way,onomatopoeic or mimetic word; adverb taking the と particle; adverb,
でれっと,deretto,"slack, slovenly, lackadaisical; moonstruck, love-struck, spoony",colloquial; onomatopoeic or mimetic word; adverb; noun; noun (generic); noun or participle taking the aux. verb する,
デレデレ,deredere,"idling, lazing, slovenly; flirting, philandering, womanizing, being lovestruck, fawning, mooning",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),初めての彼女ができて彼の顔はデレデレだ。よほど幸せみたい。; 彼女のこととなると彼はデレデレしだすので、なんだか気持ち悪い。普段はクールなのに意外だ。
とぼとぼ,tobotobo,"totteringly, trudgingly",onomatopoeic or mimetic word; adverb,
ドッキリ,dokkiri,"feeling startled, getting a shock; prank, practical joke",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,急に後ろから驚かされたのでわたしの心臓はドッキリした。; パーティ当日はまゆみちゃんの誕生日なので、まゆみちゃん以外のみんなで誕生日のどっきりを仕掛けるつもりです。喜んでくれるか楽しみ〜！
ドタバタ,dotabata,"noisily (running around), with heavy feet; in a fluster, in a flurry, in a panic; slapstick",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); abbreviation; noun,
どやどや,doyadoya,sound of many footsteps,onomatopoeic or mimetic word; adverb; adverb taking the と particle,近所で火事があったらしく、どやどやと人だかりが出来ていた。; 息子がたくさんの友達を連れてどやどやと家に入ってきた。元気なのはいいけれど、ゲームなどで盛り上がると本当にうるさいから正直困っている。
なよなよ,nayonayo,"delicately, weakly, gently, supplely",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
にちゃにちゃ,nichanicha,slimy,onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun; adverb,
にょろにょろ,nyoronyoro,"slitheringly, wriggling, slipping and sliding",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic),
ぬらぬら,nuranura,"slimy, slippery; (moving) slowly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,
ネチネチ,nechinechi,"sticky; persistent, insistent, nagging",onomatopoeic or mimetic word; adverb taking the と particle; noun; noun (generic); noun or participle taking the aux. verb する,
のこのこ,nokonoko,"unconcernedly, nonchalantly, shamelessly, brazenly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
のそのそ,nosonoso,"(move) slowly (e.g. walk), sluggishly, stolidly, ploddingly, heavily",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
はきはき,hakihaki,"briskly, smartly, promptly, clearly, lucidly",JLPT N2; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
はっと,hatto,"with a start, in surprise; suddenly (realize, remember, etc.), all of a sudden; puffing (air), with a puff; suddenly (of a movement or change); standing out, being showy, being gaudy",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); obsolete term; archaic,
ばさばさ,basabasa,"rustling, flapping, fluttering; unkempt (hair, etc.), loose, dishevelled; dry; decisively, with a whack",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
バッチリ,bacchiri,"perfectly, right on the mark, spot on, bang on; enough, sufficiently, thoroughly, completely",onomatopoeic or mimetic word; adverb; adverb taking the と particle,お母さん：テストが帰ってきたんでしょう？見せなさい。息子：はい、どうぞ。お母さん：すごい！満点じゃない？息子：バッチリよ！; ばっちりいい写真が撮れたよ。
バリバリ,baribari,"vigorously (ripping, tearing, scratching, etc.), roughly, with a rip; (eating) with a crunch; stiff, starchy, crisp; (working) hard, energetically, vigorously, furiously; with a series of loud, repeated sounds (e.g. firing a machine gun, revving an engine), with a lot of (continuous) noise",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun or participle taking the aux. verb する; noun (generic); noun taking the genitive case particle の,
ぱくぱく,pakupaku,"repeatedly opening and closing (one's mouth), gasping; flapping (e.g. shoe sole), gaping open and shut; heartily (eating), devouring, munching, gobbling",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),私はお団子をパクパク食べた。; 口をパクパクさせて金魚みたいだね。
ぱちくり,pachikuri,blinking (in surprise),onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),彼女は驚き、目をぱちくりさせた。; その音で目を覚ましたようで、犬が目をパチクリさせている。
ぱちっ,pachixtsu,"snapping (e.g. fingers) sound, with a pop",onomatopoeic or mimetic word; noun; noun (generic); adverb taking the と particle,
ぱくり,pakuri,"gaping (e.g. mouth, wound), (opening) wide; snapping up (e.g. bait), biting into (food), gobbling up; plagiarism, rip-off, lifting, cribbing",onomatopoeic or mimetic word; adverb taking the と particle; adverb; colloquial; noun; noun (generic),鯉が大きな口をあけ餌をぱくりと飲み込んだ。; 彼女はチョコをパクリと食べてしまった。
ぱっちり,pacchiri,"wide open (of eyes), large and bright (eyes)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),彼女の目はパッチリとしていて可愛らしい。; わたしぱっちりとした二重に憧れるな〜。
パリパリ,paripari,"crispy, crunchy; tearing, ripping, cracking; spirited, energetic, vigorous; brand-new and high quality (clothing), well-starched, crisp (bill)",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun; noun (generic),
パンパン,panpan,"kapow, bang, slap, clap; bulging, filled to bursting; prostitute (catering to Occupation soldiers in Japan after WWII)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); historical term; noun; noun (generic),山田さん：わあ、食ったね！松浦さん：お腹ぱんぱんや！; 君のカバンはパンパンだね。; 太った？顔がパンパンだよ？ぷぷぷぷぷ（←笑ってる）
ひくひく,hikuhiku,twitching,onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ひょいと,hyoito,"suddenly, unexpectedly; by chance, accidentally, casually; lightly, nimbly, with agility",onomatopoeic or mimetic word; adverb,
ひょこひょこ,hyokohyoko,"unsteady steps, bobbing",onomatopoeic or mimetic word; adverb; noun; noun (generic),
ひょっこり,hyokkori,"all of a sudden, suddenly, by chance, unexpectedly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ひょっと,hyotto,"possibly, perhaps, perchance; unintentionally, accidentally",JLPT N1; onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ひょろひょろ,hyorohyoro,"totteringly, staggeringly, unsteadily; lanky, spindly, slender, frail",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),亜季： あの人がオリンピック選手なの？瑞穂： あんなにヒョロヒョロの体で３０００メートルを走るなんてすごい！; 今年は雨があまり降らなかったので野菜があまり育たなくてヒョロヒョロしている。
ひょろり,hyorori,"tall and thin, long and thin, lanky, spindly, gangly",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ヒリヒリ,hirihiri,"stinging (pain), smarting, tingling",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
冷んやり,hinyari,"cool, chilly, feeling nice and cold",onomatopoeic or mimetic word; usually written using kana alone; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ビクビク,bikubiku,"being afraid of, being fearful, being timid, being nervous; trembling, shivering",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic),
びしびし,bishibishi,"stickily, relentlessly",onomatopoeic or mimetic word; adverb,上司: 君が新人？新人だからって容赦しないからね、ビシビシ鍛えるからな！新入社員: はい！よろしくお願いします！; 彼はふざけてベルトで友達の背中をビシビシ叩いた。
びらびら,birabira,"fluttering (esp. of thick or heavy material); piece of dangling cloth, paper, metal, etc.",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
ピクリ,pikuri,"with a twitch (e.g. an eyebrow), with a dip, with a bob, with a flutter",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ピシッと,pishixtsuto,"with a crack, with a snap, with a slam; firmly, sharply, sternly; precisely, properly, neatly, tidily",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぴしゃり,pishari,"slapping, splashing, splatting, banging shut, flat (refusal, denial, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぴちぴち,pichipichi,"bursting with youth and energy (esp. young woman), vivaciously young, spunky, energetic; (fish) jumping around energetically (e.g. when caught in a net); bursting (e.g. seams), tight; splattering (e.g. cooking oil)",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic),
ピリピリ,piripiri,"with a sting, with a tingle, with a burn, smartingly; nervously, tensely, (while) on edge; with a rip, with a ripping sound, with a tearing sound; with a shrill sound (of a whistle); quiveringly, tremblingly",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),全然辛くないと思っていたのにししとうを口に入た瞬間ピリピリしてびっくりした。; 記者会見で記者が政治家にうそつきと直接言ったことで会場の空気がピリピリした。; 胡椒を入れすぎてしまいスープがピリピリと辛い。; 仕事が忙しいため彼はピリピリしている。
フーフー,fu-fu-,"blowing repeatedly (e.g. to cool something down); huffing and puffing, puffing and panting, gasping; struggling (with work, studies, etc.), having difficulty",irregular reading; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),そのうどんはとても熱いので、フーフーしてよく冷ましてから食べた方がよい。; 子供： わーい、ラーメン！母： 熱いから気をつけなさいね。よくフーフーするのよ！
ふらっと,furatto,"aimlessly, by chance, accidentally, casually, suddenly, unexpectedly",onomatopoeic or mimetic word; adverb,
ふらり,furari,"aimlessly, unexpectedly (showing up); slowly swaying, staggering, moving feebly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ふわっと,fuwatto,"floatingly, driftingly, with a sense of weightlessness; softly, gently, lightly",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ブウブウ,buubuu,"bugling (sound), honking, oinking, vibrating (e.g. phone); grumbling, complaining; car, automobile",onomatopoeic or mimetic word; adverb; children's language; noun; noun (generic),
ぶくぶく,bukubuku,"bulging, swelling (e.g. with water), loose-fitting or baggy (clothing); bubbling, foaming",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
ブヨブヨ,buyobuyo,soft and flabby,onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun; noun (generic); noun or participle taking the aux. verb する,一ヶ月前に買ったリンゴがぶよぶよしている。; 太郎たろう： お前まえ告白こくはくされたって本当ほんとう？しかも学校がっこうで一番いちばん美人びじんなゆうこちゃんに！？トム： 本当ほんとうだよ！でも断ことわったよ。太郎たろう： えっ？もったいない！何なんで？トム： 僕ぼくはブヨブヨな女おんなの子こが好このみなんだ。
へなへな,henahena,"weakly, helplessly; weak, flimsy, easy to bend",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic); noun taking the genitive case particle の,植物に水をあげていなかったのでへなへなと萎れてしまった。; ピアノのコンクールが終わって緊張が解けてへなへなと崩れ落ちた。
ヘラヘラ,herahera,"(laughing) foolishly, (smiling) thoughtlessly; indiscreetly (talking), carelessly (speaking), frivolously, flippantly; thin (paper, cloth, etc.), flimsy; flaring up, bursting into flames",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic); archaic,
べちゃべちゃ,bechabecha,"chattering, prattling, gooey, messy (from mud, ink, etc.)",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun or participle taking the aux. verb する; noun (generic),
べったり,bettari,"sticking, clinging; with a smack (e.g. sitting down), hard; all over, thickly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,佳奈: 彼は彼女にぞっこんでどこにいても彼女にべったりくっついてるんだよね〜。佐助: そういうタイプほどすぐ別れるよね。; 誕生日のサプライズでケーキを顔になげられたせいで、彼の顔にはクリームがべったりとついていた。でも幸せそうだった。
ベトベト,betobeto,sticky,onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
べらべら,berabera,"non-stop talking, speaking indiscreetly, chattering; thin, flimsy",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun; noun (generic); noun or participle taking the aux. verb する,人から聞いた話をさも自分が知っていた話のようにベラベラ話すのはよくないよ。; 彼女は授業中いつも友達とベラベラと喋っている。
ペコペコ,pekopeko,"very hungry, starving, famished; bowing repeatedly, kowtowing, bowing and scraping, being obsequious, being servile; denting, buckling, giving (in)",popular; JLPT N1; onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun or participle taking the aux. verb する; noun (generic); adverb taking the と particle,彼は彼女に失礼なことを言ったので、５分ぐらいずっとぺこぺこしてた。; 日本人は、特に別れ際ペコペコとお辞儀をしまくる。; 彼はペコペコと頭をさげながらステージから降りた。
ペラペラ,perapera,"fluently (speaking a foreign language); incessantly (speaking), glibly, garrulously, volubly; one after the other (flipping through pages); thin (paper, cloth, etc.), flimsy, weak",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun taking the genitive case particle の; noun or participle taking the aux. verb する; noun (generic),エリ： わたし留学してたんだ。アキ： じゃあペラペラですね〜！すごーい。エリ： ペラペラというほどじゃないけどね。簡単な日常会話くらいならいけるよ。; 彼女は人のプライベートな話をなんでもペラペラ話すから注意したほうがいい。
ほかほか,hokahoka,"comfortably warm, steaming hot (food), piping hot, glowing (with warmth)",onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
ほくほく,hokuhoku,"soft and flaky (pie, potatoes, squash, etc.), fluffy, crumbly, fresh-baked, fresh from the oven; being pleased with oneself, beaming happily, chuckling to oneself",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic),
ほやほや,hoyahoya,"hot (e.g. from the oven), steaming (from the pot), fresh; fresh (e.g. out of university), new (e.g. married couple)",onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective,
ほろほろ,horohoro,"by ones and twos; tears or flower petals falling quietly; gurgling bird sound; falling apart, crumbling, melting (in one's mouth); dish made from fiveleaf aralia sprouts, pickled daikon, walnuts, etc.","onomatopoeic or mimetic word; adverb; adverb taking the と particle; food, cooking; noun; noun (generic)",
ほろり,horori,"being moved (to tears), being touched (by), becoming sentimental; (falling) softly (of leaves, petals, etc.); becoming slightly drunk, becoming tipsy",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ボサボサ,bosabosa,"ruffled (hair, brush bristles, etc.), unkempt, dishevelled, untidy, tousled; idling away time, dawdling, dilly-dallying",onomatopoeic or mimetic word; noun taking the genitive case particle の; adjective (generic); な adjective; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
ぼちぼち,bochibochi,"leisurely, slowly, gradually, steadily, little by little; soon, shortly; here and there, scattered, dotted; not bad, passable, so-so",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); Kansai-ben,
ぼちゃん,bochan,"splash, plop",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
ぼつぼつ,botsubotsu,"gradually, little by little, in a breezy manner; soon, before long; here and there, scattered; spots, dots, pimples, rash",JLPT N1; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun; noun (generic),
ぼりぼり,boribori,"munching, crunching; scratching (an itch)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぽちゃぽちゃ,pochapocha,"splashing (water); chubby (and cute), plump",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ぽっきり,pokkiri,"snappingly, with a snap; merely ..., having just ...",onomatopoeic or mimetic word; adverb; adverb taking the と particle; suffix,
ぽってり,potteri,"plump, fat, thick (e.g. curry), full (e.g. lips)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
ポツポツ,potsupotsu,"dots, spots; bit by bit, little by little, gradually; here and there, scattered, dotted; in drops, (falling) lightly",noun; noun (generic); onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ぽろぽろ,poroporo,in large drops,onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun; noun (generic); noun or participle taking the aux. verb する,
まざまざ,mazamaza,"vividly, clearly, distinctly, acutely",onomatopoeic or mimetic word; adverb taking the と particle,
みんみん,minmin,sound of the cicadas,onomatopoeic or mimetic word; adverb; adverb taking the と particle,
ムズムズ,muzumuzu,"to itch, to feel itchy, to feel creepy; to be impatient, to itch (to do something), to be eager",onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); intransitive verb; adverb,水虫になっちゃった、足がムズムズする。; 花粉の時期は、鼻がムズムズするよ。
むにゃむにゃ,munyamunya,"(mumbling) incomprehensibly, while mumbling, mutteringly, murmuringly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
むんむん,munmun,"stuffy, steamy, sultry",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
メソメソ,mesomeso,"sobbing, weeping, whimpering",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
もじもじ,mojimoji,"bashfully, hesitantly, fidgety, restlessly, squirming, wriggling, haltingly",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),女の人との接点が今までなかったので合コンに行くとモジモジしてしまう。
