index,word,romaji,explanation,properties,examples
178,カチッと,kachixtsuto,with a click (door sound); with tenseness or firmness,onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
179,カチン,kachin,"clink, clack; feeling annoyed, being offended, being hurt",onomatopoeic or mimetic word; adverb taking the と particle; noun; noun (generic),
180,かっか,kakka,"to burn hotly, to burn redly; to lose one's temper, to get mad, to be upset",onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb taking the と particle; adverb,
181,かっちり,kacchiri,"tightly, exactly, precisely; close-fitting (e.g. suit), firm (body), lean",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
182,カツカツ,katsukatsu,"barely, just, narrowly, with difficulty",onomatopoeic or mimetic word; adverb; noun taking the genitive case particle の; adjective (generic),
183,からから,karakara,"parched, dried-up, bone-dry; empty, hollow; rattling, clattering; laughing loudly, roaring with laughter",onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; adverb taking the と particle,
184,からっと,karatto,"bright and clear (weather, sky, etc.), perfectly (fine weather); nicely dry (laundry, air, etc.), crisply (fried, cooked, etc.); frankly, open-heartedly",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),お母さんのから揚げはカラッとジューシーでとても美味しい。
185,ガーッと,ga-xtsuto,with a grinding noise,onomatopoeic or mimetic word; adverb,
186,ガクガク,gakugaku,"trembling (with fear, cold, etc.), shaking, chattering (of teeth); coming loose, wobbling",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun or participle taking the aux. verb する; noun (generic),
187,ガチガチ,gachigachi,"chattering (teeth); (frozen, worried) stiff; rigid (personality, thinking, etc.), inflexible, overly serious; voracious (e.g. work, study), without slack or pause",onomatopoeic or mimetic word; adverb taking the と particle; な adjective; adjective (generic); noun taking the genitive case particle の; adverb,本番直前で、彼はガチガチに緊張していた。あれでは多分失敗するだろう。; 冷凍庫に入れていたお肉はガチガチに凍っていた。解凍するのにしばらく時間がかかりそうだ。
188,ガチャガチャ,gachagacha,"clatter, clank, rattling; capsule toy vending machine",onomatopoeic or mimetic word; な adjective; adjective (generic); noun; noun (generic); noun or participle taking the aux. verb する; adverb; adverb taking the と particle,家でくつろいでいたら、玄関から鍵を開ける音がガチャガチャと聞こえてきた。誰か帰ってきたみたいだ。; 下町のあたりは街の雰囲気ががちゃがちゃしている。よく言えば活気があるし、悪く言えば落ち着かない。
189,がちゃりと,gacharito,with a clank,onomatopoeic or mimetic word; adverb,
190,ガチャン,gachan,"(with a) slamming noise (door, telephone receiver), (with a) banging noise, (with a) clash (broken dish), (with a) clank, (with a) bang",onomatopoeic or mimetic word; adverb taking the と particle; noun; noun (generic),
191,がちんがちん,gachingachin,"tick-tock, chipping (sound)",onomatopoeic or mimetic word; noun; noun (generic),
192,がっぷり,gappuri,"firmly (grasped), latched onto, locked onto",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
193,ガツガツ,gatsugatsu,"hungrily, voraciously, ravenously; greedily, avariciously, eagerly, ardently",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),彼は普段内気な性格だが、女の人のことになると非常にガツガツしている。; お母さん: そんなにガツガツと食べないで。そのお肉は焼けてないわよ。        息子: だって美味しいだもん。とられる前に食べてやる。お母さん: お腹壊しても知らないからね。
194,ガミガミ,gamigami,"nagging, griping",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
195,ガラガラ,garagara,"with a clatter, with a rattle; (almost) empty, (mostly) vacant, bare, uninhabited, unoccupied; raspy (voice), gravelly, husky; with a gargle; rough (personality, speech, etc.), unreserved, outspoken, boorish, ill-mannered; rattle (baby's toy); lottery wheel",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun taking the genitive case particle の; adjective (generic); な adjective; noun or participle taking the aux. verb する; noun (generic); noun,僕の人生設計がガラガラと音を立てて崩れた。; 真菜： 声がガラガラしてるけどどうしたの？秀美： 先週から風邪を引いてのどがつぶれてるんだよ。
196,キーキー,ki-ki-,"with a (sharp) creak, with a squeak, with a screech",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
197,きちきち,kichikichi,"jam-packed (physically or of schedule, etc.); grinding noise; precisely, correctly (e.g. when working, etc.); acrida cinerea, oriental longheaded locust",onomatopoeic or mimetic word; な adjective; adjective (generic); adverb taking the と particle; noun; noun (generic),
198,きっかり,kikkari,"exactly, just, precisely; punctually, exactly on time",JLPT N1; onomatopoeic or mimetic word; adverb,
199,屹度,kitto,"surely, undoubtedly, almost certainly, most likely (e.g. 90 percent); sternly, severely; having no slack, rigid, stiff, tight; suddenly, abruptly, instantly",popular; ateji; rarely-used kanji form; JLPT N4; usually written using kana alone; onomatopoeic or mimetic word; adverb; archaic,
200,きびきび,kibikibi,"brisk, lively, energetic",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun; noun (generic); noun or participle taking the aux. verb する,
201,きゅうきゅう,kyuukyuu,squeak,onomatopoeic or mimetic word; な adjective; adjective (generic); adverb; noun; noun (generic),
202,きゅっと,kyutto,"creakingly, squeakingly, squealingly; tightly (squeezing, pressing, etc.); (drinking) all in one sweep",onomatopoeic or mimetic word; adverb,
203,きんきん,kinkin,"shrill, strident, piercing, tinkling, metallic-sounding; sharp (pain, e.g. headache, earache); ice-cold, very cold",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
204,ギクシャク,gikushaku,"awkward (movements, speech, etc.), jerky, stiff, stilted; strained (relations), sour",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
205,刻々,gizagiza,"notches, serration, indentation, jaggies (stair-step artifacts in computer images); notched, serrated, jagged, corrugated, milled",popular; rarely-used kanji form; onomatopoeic or mimetic word; usually written using kana alone; noun; noun (generic); な adjective; adjective (generic); adverb; adverb taking the と particle; noun or participle taking the aux. verb する,
206,ギスギス,gisugisu,"stiff (atmosphere, manner, etc.), cold, unfriendly, unsociable, edgy; thin and bony, scrawny",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
207,ぎゅぎゅ,gyugyu,snoringly,onomatopoeic or mimetic word; adverb,
208,ぎょろぎょろ,gyorogyoro,"goggling, rolling (one's eyes)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
209,くさくさ,kusakusa,"feeling depressed, feeling gloomy, feeling downhearted",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
210,くねくね,kunekune,"winding, meandering, wriggling, wiggling, waving, swaying, twisting and turning",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),美穂： さっきからくねくねしてどうしたの？飛鳥： トイレに行きたいのを我慢してるんだ！; 観光客： 大学までのいき方を教えてください。警察： そこのくねくねした道を行ったらすぐ着くよ。
211,クラクラ,kurakura,"dizzy, giddy",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),お酒を飲みすぎで寝ても覚めても頭がくらくらする。; 憧れのハリウッド・スターが目の前に現れて頭がくらくらする。
212,ぐいぐい,guigui,"without hesitation, with great optimism, vigorously, with great vigor, positively; (pushing or pulling) strongly; (drinking) heavily",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
213,ぐうぐう,guuguu,"fast (asleep), snoring or grumbling sound",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
214,愚図愚図,guzuguzu,"slowly, tardily, dawdling, lingering, hesitantly; complaining, grumbling; unsettled (e.g. weather); loose, slackened",popular; ateji; rarely-used kanji form; usually written using kana alone; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
215,ぐちゃぐちゃ,guchagucha,"pulpy, soppy; sloppy, untidy, in a disarray, chaotic",onomatopoeic or mimetic word; adverb; な adjective; adjective (generic); adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
216,ぐっと,gutto,"suddenly, at once, in one go, with a jerk, with a gulp; considerably, very much, a lot; firmly, with an effort, tightly, exerting pressure; completely (e.g. at a loss); deeply (e.g. moved)",JLPT N1; onomatopoeic or mimetic word; adverb,
217,ぐにゃぐにゃ,gunyagunya,"flabby, limp, soft and pliable",onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
218,ぐぶぐぶ,gubugubu,"gurgling, sound of rinsing one's mouth",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
219,ぐんぐん,gungun,"rapidly, vigorously, by leaps and bounds, steadily",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
220,けばけば,kebakeba,"gaudy, garish, showy",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
221,げっそり,gessori,"to be disheartened, to be dejected, to be discouraged, to be disappointed; suddenly (losing a lot of weight), looking emaciated, becoming very thin",JLPT N1; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); adverb taking the と particle; adverb,
222,ゲップ,geppu,"belch, burp, eructation",onomatopoeic or mimetic word; noun; noun (generic),
223,こせこせ,kosekose,"restlessly, fussily, anxiously, making a fuss over trifles; to be cramped, to be claustrophobic",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
224,コトコト,kotokoto,"gentle clinking, sound of rapping, sound of rattling, sound of lightly chopping; simmering noise, light bubbling, sound of cooking something on a low flame",onomatopoeic or mimetic word; adverb; adverb taking the と particle,美味しい牛肉が手に入ったのでコトコトとシチューを煮込んでいます。
225,コロコロ,korokoro,"lightly rolling (of a small and round thing); pleasant, high-pitched sound (e.g. bell, young woman's laughter); changing frequently (e.g. conversation, plans), (occurring) in rapid succession (e.g. sumo wrestlers being defeated), fickly, in a fickle manner; roly-poly; chirp chirp (sound of insects); ribbit ribbit (sound of frogs), croak croak; roller, lint roller, paint roller",popular; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,山頂でおにぎりを食べていたら落としてしまってコロコロところがり落ちてしまった。; コロッケを作るには揚げる前にコロコロと手で捏ねないといけません。
226,ころり,korori,"easily, effortlessly, suddenly, utterly; changing completely; plink (sound of something light falling or rolling)",onomatopoeic or mimetic word; adverb taking the と particle; noun; noun (generic),
227,コンコン,konkon,"tap-tap, knock-knock, bang-bang; cough-cough; bark (of a fox), yelp, cry; heavily (e.g. of snow falling); fox",onomatopoeic or mimetic word; adverb; adverb taking the と particle; children's language; noun; noun (generic),登山中にこんこんと水が湧き出ている泉があったのでのどを潤した。; お母さん： あそこに狐がいるよ！子供： お母さん、あれは狐じゃないよ。だってコンコンとなかないじゃない。
228,ごそごそ,gosogoso,"with a rustling sound, (rummaging) around",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),正弘： 何か外からゴソゴソ聞こえない？智里： 聞こえる！外に何かいる！絶対にテントから外に出ちゃだめだよ。
229,ゴタゴタ,gotagota,"trouble, difficulties, dispute, quarrel, discord, dissension; confusion, disorder, mess, muddle",onomatopoeic or mimetic word; noun; noun (generic); noun or participle taking the aux. verb する; intransitive verb; adverb; adverb taking the と particle,
230,ごちゃごちゃ,gochagocha,"messy, confused, chaotic, disorderly, mixed-up, jumbled up; complaining about various things",onomatopoeic or mimetic word; な adjective; adjective (generic); noun taking the genitive case particle の; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; noun (generic),
231,ごぼごぼ,gobogobo,"gurgling, burbling, bubbling, sound of water mixing with air (e.g. water welling up, pouring water, drain pipe, gushing forth)",onomatopoeic or mimetic word; adverb taking the と particle,
232,サクサク,sakusaku,"crisp (not moist or juicy), crunchy, flaky (as in pastry); crunching sound (of walking on snow, frost, sand, etc.); doing skillfully and efficiently, doing quickly, proceeding smoothly; sound of pouring liquid; speaking clearly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,揚げたての豚カツはサクサクして美味しいな！; 夜、テスト勉強をしていて、あまり集中できなかったので音楽を聴いたら、勉強がサクサク進んだ。
233,サバサバ,sabasaba,"relieved, refreshed; frank, candid, easy-going, laid-back",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
234,ザクザク,zakuzaku,"walking on frost, crunching (e.g. on gravel); lots of coins or jewels; cutting into large pieces, loosely weaving; large (pieces, stitches, sand grains, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic),
235,しっくり,shikkuri,"exactly, nicely, to a tee; to be fitting",onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
236,沁み沁み,shimijimi,"keenly, deeply, fully, heartily, seriously, earnestly; calmly, quietly, softly; fixedly (gazing, staring), intently",popular; rarely-used kanji form; JLPT N2; onomatopoeic or mimetic word; usually written using kana alone; adverb; adverb taking the と particle,
237,しゃきしゃき,shakishaki,"crisp, crunchy, precise, clipped, brisk",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
238,じくじく,jikujiku,"oozing, damp, sodden",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
239,じたばた,jitabata,"(kicking and) struggling, wriggling, floundering, flailing; to get into a panic, to make a fuss, to make a scene",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),泥棒が警察に捕まってジタバタと抵抗する。; デパートのおもちゃ売り場でおもちゃを買って欲しい子供が床に寝転がってジタバタしている。
240,凝乎と,jitto,"motionlessly (e.g. stand, wait), (be) still; fixedly (e.g. gaze, stare), intently (e.g. listen, think); patiently (endure), stoically; firmly (e.g. hold), restrained",popular; rarely-used kanji form; JLPT N3; onomatopoeic or mimetic word; usually written using kana alone; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
241,じゃあじゃあ,jaajaa,"noisily (of water gushing, pouring, spilling, splashing, spraying, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,買ったばかりの大好きなお花にジャージャーと水をやる。
242,じゃりじゃり,jarijari,"crunchy, gritty (sand, pebbles, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun or participle taking the aux. verb する; noun (generic),
243,じゅうじゅう,juujuu,"sizzling (of cooking meat, fish, etc.), frizzling",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
244,じりじり,jirijiri,"slowly (but steadily), gradually, bit-by-bit; irritatedly, impatiently; scorchingly (of the sun); sizzling (i.e. sound of frying in oil); sound of a warning bell, alarm clock, etc.; oozing out (oil, sweat, etc.), seeping out",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
245,じんわり,jinwari,"gradually (progressing), steadily, slowly; seeping out (sweat, tears, etc.)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
246,スースー,su-su-,"cool sensation from passing air, cool and refreshing (aftertaste); sound of air leaking, sound of a sleeper's breath",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,
247,スイスイ,suisui,"lightly and smoothly (of movements), swiftly, glidingly; (progressing) smoothly, (solving) easily",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
248,すたすた,sutasuta,"(walk) briskly, at a brisk pace, quickly",onomatopoeic or mimetic word; adverb taking the と particle,
249,スカッと,sukaxtsuto,"refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; (wearing, etc. something) elegantly, smartly, stylishly, in a refined manner",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
250,すっぱり,suppari,"completely (quitting, etc.), entirely, thoroughly, totally, wholly, resolutely, decisively, flatly, firmly, without hesitation; cleanly (cutting, snapping off, etc.), in a single blow",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
251,すらり,surari,"long, slender and well-proportioned; smooth, continuous (movement)",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
252,するする,surusuru,"smoothly, swiftly",onomatopoeic or mimetic word; adverb taking the と particle; adverb,
253,するり,sururi,"with a smooth, unhindered motion, speedily and without delay",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
254,すんなり,sunnari,"slim, slender, lithe, supple; smoothly, without resistance, without trouble, without difficulty, without dissent, easily, readily",JLPT N1; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
255,ずかずか,zukazuka,"rudely (barging in), straight, directly, without hesitation, without permission",onomatopoeic or mimetic word; adverb; adverb taking the と particle,彼女は僕の心に土足でずかずかと入り込んできた。; 人の家に平気でずかずかと入っていく彼をみて驚いた。
256,ズキズキ,zukizuki,throbbingly (of pain),popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),頭がずきずきする。; 心の傷がずきずきと疼く。
257,ずけずけ,zukezuke,"(speak) bluntly, frankly",obsolete reading; onomatopoeic or mimetic word; adverb taking the と particle; adverb,
258,ずっしり,zusshiri,"heavily, profoundly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),１年ぶりに娘をだっこすると、ずっしりと重くなっていた。; 吉田さん: フルマラソンを走った後だけど、家まで走って帰ろうか？伊賀さん: 無理です！足がずっしりと重くなって歩くことさえできません。タクシーで帰りましょう。; 彼は自分の肩にずっしりと責任がのしかかるのを感じた。; ずっしりした体つきの猫を見つけた。
259,ずらっと,zuratto,"in a line, in a row",JLPT N1; onomatopoeic or mimetic word; adverb,
260,ずんずん,zunzun,"rapidly (e.g. progress, moving forward), growing visibly, quickly, steadily, by leaps and bounds",onomatopoeic or mimetic word; adverb,彼女は闇の中を恐れずにずんずんと進んでいく。; ずんずんと広がる景色を車窓からしばらく眺めていた。
261,そこそこ,sokosoko,"reasonably, fairly, all right, moderate; hurriedly, in a rush, having barely finished; approximately, about, or so",onomatopoeic or mimetic word; adverb; noun taking the genitive case particle の; adjective (generic); suffix,
262,ぞっと,zotto,"shuddering, shivering, trembling, being horrified, being disgusted",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),ぞっとするような表情で、彼女はその男性を見つめていた。; 彼女の話は僕をぞっとさせた。
263,たじたじ,tajitaji,"flinchingly, falteringly, being overwhelmed; staggeringly, totteringly, unsteadily",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
264,ちびちび,chibichibi,"little by little, bit by bit, sparingly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,仕事から帰るとチビチビお酒を飲むのが日課だ。; 好きなおかずが出てきたので大事そうにチビチビ食べる。
265,ちゃっかり,chakkari,"shrewdly, smartly, calculatingly, astutely, cunningly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),宝探しは失敗に終わったと思っていたが僕のボスはちゃっかりお宝を手にしていた。; クラスで一番のいたずらっ子は先生が教室に入るときちゃっかり席についている。; クラスでお菓子が配られた時、彼はすぐ取りに行き、ちゃっかり自分の分だけ確保していた。; イベントの後片付けが残っているのに、クラスメイトたちはちゃっかり帰ってしまっていた。僕一人で片付けなくっちゃ。。。
266,ちやほや,chiyahoya,"to make a fuss over, to pamper, to spoil, to indulge, to flatter (with attention)",JLPT N1; onomatopoeic or mimetic word; noun or participle taking the aux. verb する; verb (generic); noun (generic); transitive verb; adverb; adverb taking the と particle,
267,ちゃんちゃん,chanchan,"regularly, promptly; sound of clashing swords; Manchu queue; padded sleeveless kimono jacket, Japanese vest (often for children)",onomatopoeic or mimetic word; adverb; noun; noun (generic); adverb taking the と particle,
268,ちゅう,chuu,kiss; squeak (of a mouse); with a slurp,colloquial; onomatopoeic or mimetic word; noun; noun (generic); noun or participle taking the aux. verb する; intransitive verb; adverb taking the と particle,
269,ちょいちょい,choichoi,"often, frequently, now and then, occasionally; lightly (of a movement); easily, simply, effortlessly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
270,ちょこちょこ,chokochoko,"toddling, with small, quick steps; restlessly, in continuous motion; quickly and easily; often, frequently, now and then, occasionally",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),恵子： 近状で有名な風船おじさんって最近見た？知子： うん、ちょこちょこ見るよ。; アヒルの子供がちょこちょこと横断歩道を歩いている。
271,ちょろちょろ,chorochoro,"trickling (of water); flickering (of fire); darting about (e.g. a small animal), scampering about, moving rapidly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),蛇がチョロチョロする。; 台所の水道から水がチョロチョロと漏れている。; 壁をふと見るとトカゲがちょろちょろと壁を歩いていた。
272,つかつか,tsukatsuka,"walking briskly, determinedly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
273,熟,tsukuduku,"deeply, keenly, severely, completely, utterly; intently, carefully, closely, attentively",popular; search-only kana form; rarely-used kanji form; usually written using kana alone; onomatopoeic or mimetic word; adverb; adverb taking the と particle,
274,つべこべ,tsubekobe,"complaining, nitpicking",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
275,ツンツン,tsuntsun,"aloof, morose, stuck-up, standoffish; smelling strongly of something, having a pungent smell",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
276,テカテカ,tekateka,"gleaming, shining, glistening",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
277,てこてこ,tekoteko,sound of walking,onomatopoeic or mimetic word; noun; noun (generic),
278,でかでか,dekadeka,in a big way,onomatopoeic or mimetic word; adverb taking the と particle; adverb,
279,でれっと,deretto,"slack, slovenly, lackadaisical; moonstruck, love-struck, spoony",colloquial; onomatopoeic or mimetic word; adverb; noun; noun (generic); noun or participle taking the aux. verb する,
280,デレデレ,deredere,"idling, lazing, slovenly; flirting, philandering, womanizing, being lovestruck, fawning, mooning",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),初めての彼女ができて彼の顔はデレデレだ。よほど幸せみたい。; 彼女のこととなると彼はデレデレしだすので、なんだか気持ち悪い。普段はクールなのに意外だ。
281,とぼとぼ,tobotobo,"totteringly, trudgingly",onomatopoeic or mimetic word; adverb,
282,ドッキリ,dokkiri,"feeling startled, getting a shock; prank, practical joke",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun,急に後ろから驚かされたのでわたしの心臓はドッキリした。; パーティ当日はまゆみちゃんの誕生日なので、まゆみちゃん以外のみんなで誕生日のどっきりを仕掛けるつもりです。喜んでくれるか楽しみ〜！
283,ドタバタ,dotabata,"noisily (running around), with heavy feet; in a fluster, in a flurry, in a panic; slapstick",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); abbreviation; noun,
284,どやどや,doyadoya,sound of many footsteps,onomatopoeic or mimetic word; adverb; adverb taking the と particle,近所で火事があったらしく、どやどやと人だかりが出来ていた。; 息子がたくさんの友達を連れてどやどやと家に入ってきた。元気なのはいいけれど、ゲームなどで盛り上がると本当にうるさいから正直困っている。
285,なよなよ,nayonayo,"delicately, weakly, gently, supplely",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
286,にちゃにちゃ,nichanicha,slimy,onomatopoeic or mimetic word; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun; adverb,
287,にょろにょろ,nyoronyoro,"slitheringly, wriggling, slipping and sliding",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); noun taking the genitive case particle の; adjective (generic),
288,ぬらぬら,nuranura,"slimy, slippery; (moving) slowly",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic); archaic,
289,ネチネチ,nechinechi,"sticky; persistent, insistent, nagging",onomatopoeic or mimetic word; adverb taking the と particle; noun; noun (generic); noun or participle taking the aux. verb する,
290,のこのこ,nokonoko,"unconcernedly, nonchalantly, shamelessly, brazenly",onomatopoeic or mimetic word; adverb; adverb taking the と particle,
291,のそのそ,nosonoso,"(move) slowly (e.g. walk), sluggishly, stolidly, ploddingly, heavily",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),
292,はきはき,hakihaki,"briskly, smartly, promptly, clearly, lucidly",JLPT N2; onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic),
293,はっと,hatto,"with a start, in surprise; suddenly (realize, remember, etc.), all of a sudden; puffing (air), with a puff; suddenly (of a movement or change); standing out, being showy, being gaudy",onomatopoeic or mimetic word; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); obsolete term; archaic,
294,ばさばさ,basabasa,"rustling, flapping, fluttering; unkempt (hair, etc.), loose, dishevelled; dry; decisively, with a whack",onomatopoeic or mimetic word; adverb taking the と particle; adverb; noun or participle taking the aux. verb する; verb (generic); noun (generic); な adjective; adjective (generic),
295,バッチリ,bacchiri,"perfectly, right on the mark, spot on, bang on; enough, sufficiently, thoroughly, completely",onomatopoeic or mimetic word; adverb; adverb taking the と particle,お母さん：テストが帰ってきたんでしょう？見せなさい。息子：はい、どうぞ。お母さん：すごい！満点じゃない？息子：バッチリよ！; ばっちりいい写真が撮れたよ。
296,バリバリ,baribari,"vigorously (ripping, tearing, scratching, etc.), roughly, with a rip; (eating) with a crunch; stiff, starchy, crisp; (working) hard, energetically, vigorously, furiously; with a series of loud, repeated sounds (e.g. firing a machine gun, revving an engine), with a lot of (continuous) noise",popular; onomatopoeic or mimetic word; adverb; adverb taking the と particle; な adjective; adjective (generic); noun or participle taking the aux. verb する; noun (generic); noun taking the genitive case particle の,
297,ぱくぱく,pakupaku,"repeatedly opening and closing (one's mouth), gasping; flapping (e.g. shoe sole), gaping open and shut; heartily (eating), devouring, munching, gobbling",onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),私はお団子をパクパク食べた。; 口をパクパクさせて金魚みたいだね。
298,ぱちくり,pachikuri,blinking (in surprise),onomatopoeic or mimetic word; adverb; adverb taking the と particle; noun or participle taking the aux. verb する; verb (generic); noun (generic),彼女は驚き、目をぱちくりさせた。; その音で目を覚ましたようで、犬が目をパチクリさせている。
299,ぱちっ,pachixtsu,"snapping (e.g. fingers) sound, with a pop",onomatopoeic or mimetic word; noun; noun (generic); adverb taking the と particle,
